id,price,distance,calcPrice,address
145893,4.99,12.57,7.84,"QuikTrip, Buford Highway, Doraville, DeKalb County, Georgia, 30063, United States"
142673,4.89,13.43,7.88,"3316, Royal South Parkway, Union City, Fulton County, Georgia, 30349, United States"
122985,4.99,13.06,7.95,"Macland Road Southwest, Cobb County, Georgia, 30008, United States"
202149,4.99,13.22,7.99,"SunTrust, Chamblee Tucker Road, Embry Hills, Habersham, DeKalb County, Georgia, 30341, United States"
203428,4.89,14.21,8.05,"Harper Drive, Lake City, Clayton County, Georgia, 30260, United States"
125359,4.99,13.62,8.08,"Douglasville Food Mart (Shell), Fairburn Road, Anneewakee Estates, Douglas County, Georgia, United States"
197039,4.99,13.77,8.11,"RaceTrac, Whitlock Avenue Northwest, Marietta, Cobb County, Georgia, 30064, United States"
203077,4.79,15.29,8.12,"5208, Campbellton Fairburn Road, Union City, Fulton County, Georgia, 30213, United States"
123164,4.99,14.39,8.25,"4879, Rockbridge Road, Stone Mountain, DeKalb County, Georgia, 30083, United States"
131624,4.99,14.44,8.27,"Memorial Drive, DeKalb County, Georgia, 30083, United States"
120816,4.99,15.43,8.49,"Kroger, Lost Mountain Road, Cobb County, Georgia, 30127, United States"
110975,4.76,17.62,8.57,"Mobil, Buford Highway, Norcross, Gwinnett County, Georgia, 30071, United States"
